State,County,FIPS,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
CO,Hinsdale,8054,9.0066336212,1.0001159385,1.0000186781,1.0004082715,1,1.0027744504,1,1,1,1.0033162827
CO,Huerfano,8056,9.0448766514,1.0031493023,1.0001228055,1.0039977711,1,1.0329311463,1,1.0004798187,1.0012061178,1.0029896896
CO,Jackson,8058,9.0113894007,1.0002248385,1.0000186781,1.0006654649,1,1.0067146851,1,1,1,1.003765734
CO,Jefferson,8060,10.3368548516,1.0969738701,1.2276725134,1.241234432,1,1.6289538508,1,1.0200562337,1.0504150467,1.0715489049
CO,Kiowa,8062,9.0169498278,1.0002245351,1.0011372972,1.0009715122,1.0001482076,1.01102427,1,1.0002705406,1.0006800517,1.0024934133
CO,Kit Carson,8064,9.0908486206,1.0007050097,1.0017218929,1.0039260007,1.0007477419,1.0700354011,1,1.0008855454,1.002225983,1.010601046
CO,Lake,8066,9.0876391204,1.0005191556,1.001366489,1.0038000723,1,1.0757684508,1,1.0013904024,1.0034950331,1.0012995172
CO,La Plata,8068,9.2290539526,1.0165999285,1.1369933202,1.021387256,1.0011710584,1.0127454253,1,1.0084283356,1.0211861785,1.0105424501
CO,Larimer,8070,10.2462353673,1.0526471111,1.0670619916,1.1132222399,1.6226777345,1.3062697853,1,1.0120148429,1.0302015274,1.0421401345
CO,Las Animas,8072,9.1161940367,1.0013827449,1.057893513,1.0082753584,1,1.0413438135,1,1.0015674459,1.0039400686,1.0017910924
CO,Lincoln,8074,9.0504433382,1.0009614417,1.0016461258,1.0027072866,1.0094021142,1.032219222,1,1.0004831082,1.0012143837,1.001809656
CO,Logan,8076,9.10215401,1.0070521835,1.0230299335,1.0097710962,1.0051292939,1.0446687242,1,1.0006820263,1.0017143999,1.0101063525
CO,Mesa,8078,9.4721274832,1.0172197267,1.0738897389,1.0560813022,1.1083522228,1.1536561443,1,1.0131573813,1.0330735072,1.0166974597
CO,Mineral,8080,9.0141329102,1.0001021654,1.0000186781,1.0004155621,1,1.0081796182,1,1,1,1.0054168864
CO,Moffat,8082,11.730509918,1.0011866769,1.0511840473,1.0060051243,3.6418160941,1.0262330989,1,1.00027097,1.0006811314,1.003132775
CO,Montezuma,8084,9.0939034547,1.0057557542,1.0208127783,1.0107473878,1.0001292447,1.048247952,1,1.0012754006,1.0032059567,1.0037289804
CO,Montrose,8086,9.3219151724,1.0033553425,1.0123014755,1.0157340438,1.2285869649,1.0444467404,1,1.0033094715,1.0083189689,1.0058621648
CO,Morgan,8088,10.3112253102,1.013607587,1.0789755932,1.0111742518,2.1399508982,1.0562684428,1,1.0007122243,1.0017903063,1.0087460066
CO,Otero,8090,9.0549747272,1.0020276622,1.0068158476,1.0103025377,1.00107429,1.0292802297,1,1.0007911705,1.0019887543,1.0026942352
CO,Ouray,8092,9.0185408229,1.0003092981,1.00007083,1.0019821614,1,1.013111644,1,1,1,1.0030668895
CO,Park,8094,9.0393498826,1.0004080855,1.0001369379,1.00698367,1,1.0286695133,1,1,1,1.0031516759
CO,Phillips,8096,9.0205068959,1.000580463,1.0001635916,1.0022216484,1.0000127249,1.0075722905,1,1.0007082444,1.0017803058,1.0074676273
CO,Pitkin,8098,9.0698991108,1.006563952,1.0005595567,1.0063353241,1,1.0257708309,1,1.0072523766,1.01823019,1.0051868804
CO,Prowers,8100,9.0875125881,1.0013982611,1.0327773472,1.0068963683,1.0030375076,1.0223614721,1,1.0020271681,1.0050956618,1.013918802
CO,Pueblo,8102,10.8643869348,1.0575765206,1.0667979791,1.0705100375,2.4205391115,1.1848538113,1,1.0138652604,1.0348528927,1.0153913217
CO,Rio Blanco,8104,9.3004415974,1.079978862,1.1739378073,1.0028678722,1.0053262096,1.0135023918,1,1.0059941123,1.0150673019,1.0037670404
CO,Rio Grande,8106,9.0366678472,1.0014328629,1.0014199321,1.0055255839,1,1.0209456596,1,1.0007128791,1.0017919524,1.0048389772
CO,Routt,8108,10.1738388453,1.0047774662,1.0017176101,1.0093460201,2.0988355582,1.036620194,1,1.0040912785,1.0102841866,1.0081665315
CO,Saguache,8110,9.0253698362,1.0002606242,1.0001109669,1.0027186255,1,1.0185662166,1,1,1,1.0037134029
CO,San Juan,8112,9.0129159861,1.0002462218,1.0000186781,1.000378875,1,1.0083329853,1,1,1,1.0039392258
CO,San Miguel,8114,9.0386016024,1.0018033933,1.0045089185,1.0027764361,1.0000823376,1.0174994214,1,1.0021827611,1.0054867743,1.0042615601
CO,Sedgwick,8116,9.0217462729,1.000382423,1.0000186781,1.0016099254,1,1.0156086217,1,1.0000268393,1.0000674635,1.0040323218
CO,Summit,8118,9.1020974877,1.0084671308,1.0003210958,1.0084581952,1,1.0782895626,1,1,1,1.0065615033
CO,Teller,8120,9.045056931,1.0022113691,1.0001959629,1.0100343686,1,1.0298543686,1,1,1,1.0027608619
CO,Washington,8122,9.0514749755,1.0002641222,1.0068068613,1.0026212059,1,1.0229567213,1,1.0022046634,1.0055418301,1.0110795714
CO,Weld,8124,10.6902901351,1.0994570456,1.4706040526,1.0804471075,1.5933829699,1.3210268142,1,1.0231792252,1.0582652621,1.043927658
CO,Yuma,8126,9.0797592793,1.0009365184,1.036125096,1.0051762991,1,1.0166627387,1,1.0020312018,1.0051057995,1.013721626
CT,Fairfield,9002,11.9465753393,1.2785185673,1.0426014851,1.5498603388,1.8768559668,1.9908948861,1,1.0235367736,1.0591640283,1.1251432934
